Index;Class;Formula;Exp m/z;Total Abund;#C;#H;#N;#O;#S;H/C;N/C;O/C;S/C
106;HC;C39H66;534,516021;9437394,4;39;66;0;0;0;1,6923;0;0;0
107;HC;C40H68;548,531564;10695454;40;68;0;0;0;1,7;0;0;0
108;HC;C41H70;562,547109;12665329;41;70;0;0;0;1,7073;0;0;0
109;HC;C42H72;576,563029;8142130,67;42;72;0;0;0;1,7143;0;0;0
110;HC;C43H74;590,578274;10061148,8;43;74;0;0;0;1,7209;0;0;0
111;HC;C44H76;604,593793;10550340;44;76;0;0;0;1,7273;0;0;0
112;HC;C45H78;618,60936;6920430;45;78;0;0;0;1,7333;0;0;0
113;HC;C46H80;632,625453;6474556;46;80;0;0;0;1,7391;0;0;0
114;HC;C47H82;646,641154;7522795,07;47;82;0;0;0;1,7447;0;0;0
115;HC;C48H84;660,656628;6070392;48;84;0;0;0;1,75;0;0;0
116;HC;C49H86;674,672229;5457758,92;49;86;0;0;0;1,7551;0;0;0
117;HC;C50H88;688,688317;3909718;50;88;0;0;0;1,76;0;0;0
118;HC;C51H90;702,703594;4034735,05;51;90;0;0;0;1,7647;0;0;0
119;HC;C52H92;716,7194;3062221;52;92;0;0;0;1,7692;0;0;0
120;HC;C53H94;730,735238;3063482,31;53;94;0;0;0;1,7736;0;0;0
121;HC;C54H96;744,750666;2225201,24;54;96;0;0;0;1,7778;0;0;0
122;HC;C55H98;758,766432;2520659;55;98;0;0;0;1,7818;0;0;0
123;HC;C56H100;772,781714;2577466;56;100;0;0;0;1,7857;0;0;0
124;HC;C57H102;786,797452;1059124;57;102;0;0;0;1,7895;0;0;0
125;HC;C59H106;814,828947;769993;59;106;0;0;0;1,7966;0;0;0
126;HC;C60H108;828,844993;1058690;60;108;0;0;0;1,8;0;0;0
127;HC;C63H114;870,891232;1104988,24;63;114;0;0;0;1,8095;0;0;0
128;HC;C26H38;350,29659;2211754,84;26;38;0;0;0;1,4615;0;0;0
129;HC;C27H40;364,312405;2429934,06;27;40;0;0;0;1,4815;0;0;0
130;HC;C28H42;378,328014;3878546,75;28;42;0;0;0;1,5;0;0;0
131;HC;C29H44;392,343639;4942705;29;44;0;0;0;1,5172;0;0;0
132;HC;C30H46;406,35931;4214042,97;30;46;0;0;0;1,5333;0;0;0
133;HC;C31H48;420,375072;3155305;31;48;0;0;0;1,5484;0;0;0
134;HC;C32H50;434,390814;5107277,51;32;50;0;0;0;1,5625;0;0;0
135;HC;C33H52;448,406264;5183965,37;33;52;0;0;0;1,5758;0;0;0
136;HC;C34H54;462,421773;6400936,68;34;54;0;0;0;1,5882;0;0;0
137;HC;C35H56;476,437582;6336453;35;56;0;0;0;1,6;0;0;0
138;HC;C36H58;490,453235;9456234,23;36;58;0;0;0;1,6111;0;0;0
139;HC;C37H60;504,468808;9118783;37;60;0;0;0;1,6216;0;0;0
140;HC;C38H62;518,484462;11304289;38;62;0;0;0;1,6316;0;0;0
141;HC;C39H64;532,500389;10937316,2;39;64;0;0;0;1,641;0;0;0
142;HC;C40H66;546,515978;12044341,34;40;66;0;0;0;1,65;0;0;0
143;HC;C41H68;560,531528;13557401;41;68;0;0;0;1,6585;0;0;0
144;HC;C42H70;574,547281;9416276,32;42;70;0;0;0;1,6667;0;0;0
145;HC;C43H72;588,562908;8209814,53;43;72;0;0;0;1,6744;0;0;0
146;HC;C44H74;602,577996;12571317;44;74;0;0;0;1,6818;0;0;0
147;HC;C45H76;616,593991;8632295,59;45;76;0;0;0;1,6889;0;0;0
148;HC;C46H78;630,60968;6480663,3;46;78;0;0;0;1,6957;0;0;0
149;HC;C47H80;644,625099;8297646,99;47;80;0;0;0;1,7021;0;0;0
150;HC;C48H82;658,64139;6734722,34;48;82;0;0;0;1,7083;0;0;0
151;HC;C49H84;672,656736;5146261,47;49;84;0;0;0;1,7143;0;0;0
152;HC;C50H86;686,672702;3961417,38;50;86;0;0;0;1,72;0;0;0
153;HC;C51H88;700,688278;4873185,17;51;88;0;0;0;1,7255;0;0;0
154;HC;C52H90;714,704031;3769059,73;52;90;0;0;0;1,7308;0;0;0
155;HC;C53H92;728,719982;3440123,87;53;92;0;0;0;1,7358;0;0;0
156;HC;C54H94;742,734916;2963399,91;54;94;0;0;0;1,7407;0;0;0
157;HC;C55H96;756,750765;3383621,08;55;96;0;0;0;1,7455;0;0;0
158;HC;C56H98;770,766443;2771644;56;98;0;0;0;1,75;0;0;0
159;HC;C57H100;784,781905;2435803,25;57;100;0;0;0;1,7544;0;0;0
160;HC;C58H102;798,797757;1282029,14;58;102;0;0;0;1,7586;0;0;0
161;HC;C59H104;812,81384;945131;59;104;0;0;0;1,7627;0;0;0
162;HC;C60H106;826,82907;1472272,59;60;106;0;0;0;1,7667;0;0;0
163;HC;C61H108;840,844756;980224;61;108;0;0;0;1,7705;0;0;0
164;HC;C62H110;854,85952;943073;62;110;0;0;0;1,7742;0;0;0
165;HC;C63H112;868,875738;763647;63;112;0;0;0;1,7778;0;0;0
166;HC;C26H36;348,281153;1550540;26;36;0;0;0;1,3846;0;0;0
167;HC;C27H38;362,296616;3152539;27;38;0;0;0;1,4074;0;0;0
168;HC;C28H40;376,312342;2930084,15;28;40;0;0;0;1,4286;0;0;0
169;HC;C29H42;390,328103;3071886,34;29;42;0;0;0;1,4483;0;0;0
170;HC;C30H44;404,343831;3301086;30;44;0;0;0;1,4667;0;0;0
171;HC;C31H46;418,359429;5197900;31;46;0;0;0;1,4839;0;0;0
172;HC;C32H48;432,375053;6190633,57;32;48;0;0;0;1,5;0;0;0
173;HC;C33H50;446,390837;5777795,21;33;50;0;0;0;1,5152;0;0;0
174;HC;C34H52;460,406165;7148198;34;52;0;0;0;1,5294;0;0;0
175;HC;C35H54;474,421964;6264569,1;35;54;0;0;0;1,5429;0;0;0
176;HC;C36H56;488,437461;9997545,32;36;56;0;0;0;1,5556;0;0;0
177;HC;C37H58;502,453303;8968350,27;37;58;0;0;0;1,5676;0;0;0
178;HC;C38H60;516,469102;11687802,69;38;60;0;0;0;1,5789;0;0;0
179;HC;C39H62;530,484596;12076292;39;62;0;0;0;1,5897;0;0;0
180;HC;C40H64;544,500095;13031125;40;64;0;0;0;1,6;0;0;0
181;HC;C41H66;558,516223;10736582,41;41;66;0;0;0;1,6098;0;0;0
